movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,combination
strange wilderness,Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,Adventure Comedy,fred wolf kevin alejandro ashley scott jeff garlin adventure comedy
topsy-turvy,Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,Biography Comedy Drama History Music Musical,mike leigh jim broadbent dexter fletcher lesley manville biography comedy drama history music musical
little boy,Alejandro Monteverde,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,Drama War,alejandro monteverde tom wilkinson cary-hiroyuki tagawa michael rapaport drama war
a dangerous method,David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,Biography Drama Thriller,david cronenberg michael fassbender viggo mortensen sarah gadon biography drama thriller
a scanner darkly,Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,Animation Drama Mystery Sci-Fi Thriller,richard linklater robert downey jr. keanu reeves rory cochrane animation drama mystery sci-fi thriller
chasing mavericks,Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,Biography Drama Sport,michael apted gerard butler abigail spencer leven rambin biography drama sport
alone in the dark,Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,Horror Sci-Fi,uwe boll catherine lough haggquist darren shahlavi karin konoval horror sci-fi
bandslam,Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,Comedy Drama Family Music Romance,todd graff scott porter charlie saxton ryan donowho comedy drama family music romance
birth,Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,Drama Mystery Romance Thriller,jonathan glazer cameron bright anne heche danny huston drama mystery romance thriller
a most violent year,J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,Action Crime Drama Thriller,j.c. chandor david oyelowo ashley williams albert brooks action crime drama thriller
passchendaele,Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,Drama History Romance War,paul gross landon liboiron michael greyeyes caroline dhavernas drama history romance war
flash of genius,Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,Biography Drama,marc abraham dylan authors bill lake victoria learn biography drama
i'm not there.,Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,Biography Drama Music,todd haynes christian bale heath ledger tyrone benskin biography drama music
the cold light of day,Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,Action Thriller,mabrouk el mechri henry cavill bruce willis óscar jaenada action thriller
the brothers bloom,Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,Adventure Comedy Drama Romance,rian johnson zachary gordon maximilian schell nora zehetner adventure comedy drama romance
"synecdoche, new york",Charlie Kaufman,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,Comedy Drama Romance,charlie kaufman philip seymour hoffman jennifer jason leigh samantha morton comedy drama romance
princess mononoke,Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,Adventure Animation Fantasy,hayao miyazaki minnie driver jada pinkett smith billy crudup adventure animation fantasy
bon voyage,Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Comedy Drama Mystery Romance Thriller War,jean-paul rappeneau isabelle adjani peter coyote virginie ledoyen comedy drama mystery romance thriller war
can't stop the music,Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,Biography Comedy Musical,nancy walker steve guttenberg randy jones caitlyn jenner biography comedy musical
the proposition,John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,Crime Drama Western,john hillcoat ray winstone noah taylor danny huston crime drama western
courage,Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,Biography Drama Sport,angelo pizzo donny boaz finn wittrock brent anderson biography drama sport
marci x,Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,Comedy Music,richard benjamin damon wayans jane krakowski paula garcés comedy music
equilibrium,Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,Action Drama Sci-Fi Thriller,kurt wimmer christian bale emily watson sean pertwee action drama sci-fi thriller
the children of huang shi,Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,Drama War,roger spottiswoode radha mitchell guang li matthew walker drama war
the yards,James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,Crime Drama Romance Thriller,james gray charlize theron ellen burstyn faye dunaway crime drama romance thriller
the oogieloves in the big balloon adventure,Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,Adventure Family Fantasy Musical,matthew diamond chazz palminteri garrett clayton toni braxton adventure family fantasy musical
by the sea,Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,Drama Romance,angelina jolie pitt brad pitt angelina jolie pitt melvil poupaud drama romance
steamboy,Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,Action Adventure Animation Family Sci-Fi Thriller,katsuhiro ôtomo william hootkins robin atkin downes rosalind ayres action adventure animation family sci-fi thriller
the game of their lives,David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,Drama History Sport,david anspaugh gerard butler costas mandylor jimmy jean-louis drama history sport
all good things,Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,Crime Drama Mystery Romance Thriller,andrew jarecki ryan gosling kirsten dunst frank langella crime drama mystery romance thriller
rapa nui,Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,Action Adventure Drama History Romance,kevin reynolds esai morales jason scott lee sandrine holt action adventure drama history romance
cj7,Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam,Comedy Family Sci-Fi,stephen chow jiao xu yuqi zhang chi chung lam comedy family sci-fi
les couloirs du temps: les visiteurs ii,Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,Comedy Family Fantasy Sci-Fi,jean-marie poiré christian clavier philippe nahon marie-anne chazel comedy family fantasy sci-fi
dylan dog: dead of night,Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,kevin munroe marco st. john laura spencer anita briem action comedy crime fantasy horror mystery sci-fi thriller
people i know,Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,Crime Drama Mystery,daniel algrant al pacino richard schiff mark webber crime drama mystery
the doombolt chase,unknown,Peter Vaughan,George Coulouris,Ewen Solon,Drama Family,unknown peter vaughan george coulouris ewen solon drama family
the tempest,Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,Comedy Drama Fantasy Romance,julie taymor djimon hounsou reeve carney tom conti comedy drama fantasy romance
regression,Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,Crime Drama Mystery Thriller,alejandro amenábar emma watson aaron ashmore julian richings crime drama mystery thriller
the touch,Jane Clark,Necar Zadegan,Traci Dinwiddie,Elea Oberon,Romance Short,jane clark necar zadegan traci dinwiddie elea oberon romance short
three kingdoms: resurrection of the dragon,Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,Action Drama History War,daniel lee andy lau sammo kam-bo hung andy on action drama history war
shattered,Mike Barker,Gerard Butler,Nicholas Lea,Callum Rennie,Crime Drama Thriller,mike barker gerard butler nicholas lea callum rennie crime drama thriller
zambezia,Wayne Thornley,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,Adventure Animation Comedy Family,wayne thornley leonard nimoy phil lamarr noureen dewulf adventure animation comedy family
ramanujan,Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,Biography Drama History,gnana rajasekaran mani bharathi michael lieber kevin mcgowan biography drama history
dwegons and leprechauns,Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,Animation,tom walsh joey d. vieira maggie wheeler jacqueline lovell animation
hands of stone,Jonathan Jakubowicz,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,Action Biography Drama Sport,jonathan jakubowicz robert de niro jurnee smollett-bell edgar ramírez action biography drama sport
survivor,James McTeigue,Milla Jovovich,Roger Rees,Robert Forster,Action Crime Thriller,james mcteigue milla jovovich roger rees robert forster action crime thriller
the frozen ground,Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,Crime Drama Mystery Thriller,scott walker nicolas cage radha mitchell jodi lyn o'keefe crime drama mystery thriller
the painted veil,John Curran,Toby Jones,Sally Hawkins,Alan David,Drama Romance,john curran toby jones sally hawkins alan david drama romance
the baader meinhof complex,Uli Edel,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,Action Biography Crime Drama,uli edel moritz bleibtreu alexandra maria lara martina gedeck action biography crime drama
dances with wolves,Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,Adventure Drama Western,kevin costner mary mcdonnell michael spears maury chaykin adventure drama western
bad teacher,Jake Kasdan,Justin Timberlake,John Michael Higgins,Phyllis Smith,Comedy,jake kasdan justin timberlake john michael higgins phyllis smith comedy
sea of love,Harold Becker,Al Pacino,Michael O'Neill,Ellen Barkin,Crime Drama Mystery Thriller,harold becker al pacino michael o'neill ellen barkin crime drama mystery thriller
a cinderella story,Mark Rosman,Dan Byrd,Lin Shaye,Julie Gonzalo,Comedy Family Romance,mark rosman dan byrd lin shaye julie gonzalo comedy family romance
scream,Wes Craven,David Arquette,W. Earl Brown,Roger Jackson,Horror Mystery,wes craven david arquette w. earl brown roger jackson horror mystery
thir13en ghosts,Steve Beck,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,Horror,steve beck shannon elizabeth embeth davidtz f. murray abraham horror
the shining,Stanley Kubrick,Scatman Crothers,Shelley Duvall,Joe Turkel,Drama Horror,stanley kubrick scatman crothers shelley duvall joe turkel drama horror
back to the future,Robert Zemeckis,Lea Thompson,Thomas F. Wilson,J.J. Cohen,Adventure Comedy Sci-Fi,robert zemeckis lea thompson thomas f. wilson j.j. cohen adventure comedy sci-fi
house on haunted hill,William Malone,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,Horror Mystery Thriller,william malone jeffrey combs peter gallagher bridgette wilson-sampras horror mystery thriller
i can do bad all by myself,Tyler Perry,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,Comedy Drama,tyler perry eric mendenhall mary j. blige hope olaide wilson comedy drama
fight valley,Rob Hawk,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,Action Drama,rob hawk kari j. kramer erin o'brien cabrina collesides action drama
the switch,Josh Gordon,Caroline Dhavernas,Scott Elrod,Kelli Barrett,Comedy Drama Romance,josh gordon caroline dhavernas scott elrod kelli barrett comedy drama romance
just married,Shawn Levy,Taran Killam,David Agranov,David Moscow,Comedy Romance,shawn levy taran killam david agranov david moscow comedy romance
the devil's double,Lee Tamahori,Mem Ferda,Dominic Cooper,Ludivine Sagnier,Biography Drama Thriller,lee tamahori mem ferda dominic cooper ludivine sagnier biography drama thriller
"gone, baby, gone",unknown,Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,Comedy Drama Reality-TV Romance,unknown nicole 'snooki' polizzi jenni 'jwoww' farley paul 'pauly d' delvecchio comedy drama reality-tv romance
thomas and the magic railroad,Britt Allcroft,Mara Wilson,Colm Feore,Peter Fonda,Adventure Comedy Drama Family Fantasy,britt allcroft mara wilson colm feore peter fonda adventure comedy drama family fantasy
the crazies,Breck Eisner,Radha Mitchell,Glenn Morshower,John Aylward,Horror Thriller,breck eisner radha mitchell glenn morshower john aylward horror thriller
spirited away,Hayao Miyazaki,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,Adventure Animation Family Fantasy,hayao miyazaki bunta sugawara ryûnosuke kamiki miyu irino adventure animation family fantasy
firestorm,Alan Yuen,Andy Lau,Michael Wong,Terence Yin,Action Crime Thriller,alan yuen andy lau michael wong terence yin action crime thriller
the bounty,Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,Action Adventure Drama History Romance,roger donaldson liam neeson anthony hopkins laurence olivier action adventure drama history romance
the book thief,Brian Percival,Emily Watson,Sophie Nélisse,Roger Allam,Drama War,brian percival emily watson sophie nélisse roger allam drama war
sex drive,Sean Anders,Katrina Bowden,Michael Cudlitz,Alice Greczyn,Adventure Comedy Romance,sean anders katrina bowden michael cudlitz alice greczyn adventure comedy romance
leap year,Anand Tucker,Adam Scott,Kaitlin Olson,Dominique McElligott,Comedy Romance,anand tucker adam scott kaitlin olson dominique mcelligott comedy romance
the fall of the roman empire,Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,Drama History War,anthony mann james mason mel ferrer stephen boyd drama history war
take me home tonight,Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,Comedy Drama Romance,michael dowse topher grace michael biehn dan fogler comedy drama romance
won't back down,Daniel Barnz,Holly Hunter,Rosie Perez,Dante Brown,Drama,daniel barnz holly hunter rosie perez dante brown drama
the nutcracker,Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,Family Fantasy Music,emile ardolino darci kistler kyra nichols margaret tracey family fantasy music
kansas city,Robert Altman,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,Crime Drama Music Thriller,robert altman steve buscemi jennifer jason leigh miranda richardson crime drama music thriller
indignation,James Schamus,Logan Lerman,Sarah Gadon,Tracy Letts,Drama,james schamus logan lerman sarah gadon tracy letts drama
the amityville horror,Andrew Douglas,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,Drama Horror Mystery Thriller,andrew douglas jimmy bennett chloë grace moretz ryan reynolds drama horror mystery thriller
adaptation.,Spike Jonze,Nicolas Cage,Meryl Streep,Roger Willie,Comedy Drama,spike jonze nicolas cage meryl streep roger willie comedy drama
land of the dead,George A. Romero,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,Horror,george a. romero tony nappo shawn roberts pedro miguel arce horror
out of inferno,Danny Pang,Louis Koo,Angelica Lee,Ching Wan Lau,Action,danny pang louis koo angelica lee ching wan lau action
fear and loathing in las vegas,Terry Gilliam,Johnny Depp,Michael Jeter,Ellen Barkin,Adventure Comedy Drama,terry gilliam johnny depp michael jeter ellen barkin adventure comedy drama
the invention of lying,Ricky Gervais,Jennifer Garner,Tina Fey,Martin Starr,Comedy Fantasy Romance,ricky gervais jennifer garner tina fey martin starr comedy fantasy romance
neighbors,Nicholas Stoller,Craig Roberts,Carla Gallo,Ike Barinholtz,Comedy,nicholas stoller craig roberts carla gallo ike barinholtz comedy
the mask,Chuck Russell,Peter Greene,Amy Yasbeck,Reg E. Cathey,Action Comedy Crime Fantasy,chuck russell peter greene amy yasbeck reg e. cathey action comedy crime fantasy
big,Penny Marshall,Tom Hanks,Jon Lovitz,John Heard,Comedy Drama Family Fantasy Romance,penny marshall tom hanks jon lovitz john heard comedy drama family fantasy romance
borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Larry Charles,Luenell,Ken Davitian,Chester,Comedy,larry charles luenell ken davitian chester comedy
legally blonde,Robert Luketic,Linda Cardellini,Raquel Welch,Alanna Ubach,Comedy Romance,robert luketic linda cardellini raquel welch alanna ubach comedy romance
star trek iii: the search for spock,Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi,leonard nimoy leonard nimoy nichelle nichols walter koenig action adventure sci-fi
the exorcism of emily rose,Scott Derrickson,Tom Wilkinson,Colm Feore,JR Bourne,Drama Horror Thriller,scott derrickson tom wilkinson colm feore jr bourne drama horror thriller
deuce bigalow: male gigolo,Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,Comedy Romance,mike mitchell amy poehler eddie griffin bree turner comedy romance
left behind,Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,Action Drama Fantasy Mystery Thriller,vic armstrong nicolas cage lea thompson quinton aaron action drama fantasy mystery thriller
the family stone,Thomas Bezucha,Craig T. Nelson,Paul Schneider,Tyrone Giordano,Comedy Drama Romance,thomas bezucha craig t. nelson paul schneider tyrone giordano comedy drama romance
barbershop 2: back in business,Kevin Rodney Sullivan,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,Comedy Drama,kevin rodney sullivan harry lennix sean patrick thomas kenan thompson comedy drama
bad santa,Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,Comedy Crime Drama,terry zwigoff bernie mac tony cox alex borstein comedy crime drama
austin powers: international man of mystery,Jay Roach,Will Ferrell,Charles Napier,Robert Wagner,Comedy Crime,jay roach will ferrell charles napier robert wagner comedy crime
my big fat greek wedding 2,Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,Comedy Family Romance,kirk jones nia vardalos louis mandylor joey fatone comedy family romance
diary of a wimpy kid: rodrick rules,David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,Comedy Family,david bowers zachary gordon rachael harris fran kranz comedy family
predator,John McTiernan,Shane Black,Bill Duke,Carl Weathers,Action Horror Sci-Fi,john mctiernan shane black bill duke carl weathers action horror sci-fi
amadeus,Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,Biography Drama History Music,milos forman jeffrey jones f. murray abraham tom hulce biography drama history music
prom night,Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,Horror Mystery,nelson mccormick ming-na wen scott porter collins pennie horror mystery
mean girls,Mark Waters,Tina Fey,Amy Poehler,Neil Flynn,Comedy,mark waters tina fey amy poehler neil flynn comedy
under the tuscan sun,Audrey Wells,Raoul Bova,Lindsay Duncan,Mario Monicelli,Comedy Drama Romance,audrey wells raoul bova lindsay duncan mario monicelli comedy drama romance
gosford park,Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,Drama Mystery,robert altman kristin scott thomas bob balaban tom hollander drama mystery
the o.c.,unknown,Peter Gallagher,Melinda Clarke,Tate Donovan,Comedy Drama Romance,unknown peter gallagher melinda clarke tate donovan comedy drama romance
peggy sue got married,Francis Ford Coppola,Nicolas Cage,Kathleen Turner,Joan Allen,Comedy Drama Fantasy Romance,francis ford coppola nicolas cage kathleen turner joan allen comedy drama fantasy romance
birdman or (the unexpected virtue of ignorance),Alejandro G. Iñárritu,Emma Stone,Naomi Watts,Merritt Wever,Comedy Drama Romance,alejandro g. iñárritu emma stone naomi watts merritt wever comedy drama romance
blue jasmine,Woody Allen,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Drama,woody allen sally hawkins charlie tahan andrew dice clay drama
united 93,Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,Drama History Thriller,paul greengrass christian clemenson david alan basche susan blommaert drama history thriller
honey,Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,Drama Music Romance,bille woodruff christian monzon mekhi phifer romeo miller drama music romance
glory,Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Drama History War,edward zwick denzel washington morgan freeman matthew broderick drama history war
spy hard,Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Action Comedy,rick friedberg hulk hogan barry bostwick nicollette sheridan action comedy
the fog,John Carpenter,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,Fantasy Horror,john carpenter jamie lee curtis hal holbrook janet leigh fantasy horror
soul surfer,Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,Biography Drama Family Sport,sean mcnamara dennis quaid chris brochu craig t. nelson biography drama family sport
catch-22,Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam,Comedy Drama War,mike nichols bob newhart bob balaban martin balsam comedy drama war
observe and report,Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,Comedy Crime Drama,jody hill collette wolfe celia weston dan bakkedahl comedy crime drama
conan the destroyer,Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,Action Adventure Fantasy,richard fleischer mako olivia d'abo grace jones action adventure fantasy
raging bull,Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,Biography Drama Sport,martin scorsese robert de niro cathy moriarty frank vincent biography drama sport
love happens,Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,Drama Romance,brandon camp judy greer sasha alexander frances conroy drama romance
young sherlock holmes,Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Adventure Fantasy Mystery Thriller,barry levinson nicholas rowe roger ashton-griffiths freddie jones adventure fantasy mystery thriller
fame,Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,Comedy Drama Musical Romance,kevin tancharoen kelsey grammer kay panabaker megan mullally comedy drama musical romance
127 hours,Danny Boyle,James Franco,Treat Williams,Kate Burton,Adventure Biography Drama Thriller,danny boyle james franco treat williams kate burton adventure biography drama thriller
small time crooks,Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,Comedy Crime,woody allen woody allen jon lovitz michael rapaport comedy crime
center stage,Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,Drama Music Romance,nicholas hytner amanda schull susan may pratt ethan stiefel drama music romance
love the coopers,Jessie Nelson,Olivia Wilde,Alex Borstein,Timothée Chalamet,Comedy,jessie nelson olivia wilde alex borstein timothée chalamet comedy
catch that kid,Bart Freundlich,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,Comedy Crime,bart freundlich kristen stewart corbin bleu kevin g. schmidt comedy crime
life as a house,Irwin Winkler,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Drama,irwin winkler ian somerhalder hayden christensen kristin scott thomas drama
steve jobs,Danny Boyle,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,Biography Drama,danny boyle kate winslet michael fassbender michael stuhlbarg biography drama
"i love you, beth cooper",Chris Columbus,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,Comedy Romance,chris columbus alan ruck marie avgeropoulos shawn roberts comedy romance
youth in revolt,Miguel Arteta,Steve Buscemi,Ari Graynor,Fred Willard,Comedy Drama Romance,miguel arteta steve buscemi ari graynor fred willard comedy drama romance
the legend of the lone ranger,William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,Action Adventure Western,william a. fraker jason robards richard farnsworth michael horse action adventure western
the tailor of panama,John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,Drama Thriller,john boorman daniel radcliffe jamie lee curtis mark margolis drama thriller
blow out,Brian De Palma,Nancy Allen,Dennis Franz,John McMartin,Mystery Thriller,brian de palma nancy allen dennis franz john mcmartin mystery thriller
getaway,Courtney Solomon,Rebecca Budig,Paul Freeman,Bruce Payne,Action Crime Thriller,courtney solomon rebecca budig paul freeman bruce payne action crime thriller
the ice storm,Ang Lee,Joan Allen,Kate Burton,Henry Czerny,Drama,ang lee joan allen kate burton henry czerny drama
and so it goes,Rob Reiner,Yaya DaCosta,Annie Parisse,Frankie Valli,Comedy Drama Romance,rob reiner yaya dacosta annie parisse frankie valli comedy drama romance
troop beverly hills,Jeff Kanew,Craig T. Nelson,Shelley Long,Kellie Martin,Adventure Comedy,jeff kanew craig t. nelson shelley long kellie martin adventure comedy
being julia,István Szabó,Miriam Margolyes,Shaun Evans,Juliet Stevenson,Comedy Drama Romance,istván szabó miriam margolyes shaun evans juliet stevenson comedy drama romance
9½ weeks,Adrian Lyne,David Margulies,Karen Young,Kim Chan,Drama Romance,adrian lyne david margulies karen young kim chan drama romance
dragonslayer,Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,Action Adventure Fantasy,matthew robbins ian mcdiarmid ralph richardson albert salmi action adventure fantasy
the last station,Michael Hoffman,David Masterson,Kerry Condon,Anne-Marie Duff,Biography Drama Romance,michael hoffman david masterson kerry condon anne-marie duff biography drama romance
ed wood,Tim Burton,Johnny Depp,Bill Murray,Martin Landau,Biography Comedy Drama,tim burton johnny depp bill murray martin landau biography comedy drama
labor day,Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,Drama,jason reitman j.k. simmons kate winslet brooke smith drama
mongol: the rise of genghis khan,Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Honglei Sun,Adventure Biography Drama History War,sergey bodrov tadanobu asano khulan chuluun honglei sun adventure biography drama history war
rocknrolla,Guy Ritchie,Tom Hardy,Gerard Butler,Tom Wilkinson,Action Crime Thriller,guy ritchie tom hardy gerard butler tom wilkinson action crime thriller
megaforce,Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,Action Sci-Fi,hal needham barry bostwick michael beck henry silva action sci-fi
hamlet,Kenneth Branagh,Julie Christie,Brian Blessed,Richard Briers,Drama,kenneth branagh julie christie brian blessed richard briers drama
mao's last dancer,Bruce Beresford,Bruce Greenwood,Suzie Steen,Aden Young,Biography Drama Music Romance,bruce beresford bruce greenwood suzie steen aden young biography drama music romance
midnight special,Jeff Nichols,Kirsten Dunst,Sam Shepard,Paul Sparks,Adventure Drama Sci-Fi Thriller,jeff nichols kirsten dunst sam shepard paul sparks adventure drama sci-fi thriller
anything else,Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,Comedy Romance,woody allen woody allen stockard channing fisher stevens comedy romance
the railway man,Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,Biography Drama Romance War,jonathan teplitzky jeremy irvine colin firth sam reid biography drama romance war
unforgettable,unknown,Poppy Montgomery,Dylan Walsh,Dallas Roberts,Drama Mystery,unknown poppy montgomery dylan walsh dallas roberts drama mystery
the white ribbon,Michael Haneke,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,Drama Mystery,michael haneke ulrich tukur burghart klaußner leonie benesch drama mystery
restoration,Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,Horror,zack ward zack ward anna harr james cullen bressack horror
the wraith,Mike Marvin,Clint Howard,Randy Quaid,Nick Cassavetes,Action Horror Romance Sci-Fi Thriller,mike marvin clint howard randy quaid nick cassavetes action horror romance sci-fi thriller
the salton sea,D.J. Caruso,Adam Goldberg,Meat Loaf,Anthony LaPaglia,Crime Drama Mystery Thriller,d.j. caruso adam goldberg meat loaf anthony lapaglia crime drama mystery thriller
metallica through the never,Nimród Antal,James Hetfield,Mackenzie Gray,Lars Ulrich,Music,nimród antal james hetfield mackenzie gray lars ulrich music
the informers,Gregor Jordan,Austin Nichols,Brad Renfro,Lou Taylor Pucci,Crime Drama Thriller,gregor jordan austin nichols brad renfro lou taylor pucci crime drama thriller
carlos,unknown,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,Biography Crime Drama Thriller,unknown edgar ramírez nora von waldstätten katharina schüttler biography crime drama thriller
i come with the rain,Tran Anh Hung,Takuya Kimura,Simón Andreu,Shawn Yue,Thriller,tran anh hung takuya kimura simón andreu shawn yue thriller
one man's hero,Lance Hool,Tom Berenger,Joaquim de Almeida,Mark Moses,Action Drama History Romance War Western,lance hool tom berenger joaquim de almeida mark moses action drama history romance war western
day of the dead,George A. Romero,Greg Nicotero,John Amplas,Joseph Pilato,Horror,george a. romero greg nicotero john amplas joseph pilato horror
i am wrath,Chuck Russell,Sam Trammell,Rebecca De Mornay,Amanda Schull,Action Crime Drama Thriller,chuck russell sam trammell rebecca de mornay amanda schull action crime drama thriller
renaissance,Christian Volckman,Romola Garai,Catherine McCormack,Kevork Malikyan,Action Animation Sci-Fi Thriller,christian volckman romola garai catherine mccormack kevork malikyan action animation sci-fi thriller
forsaken,Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,Drama Western,jon cassar demi moore landon liboiron michael wincott drama western
red sonja,Richard Fleischer,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,Action Adventure Fantasy,richard fleischer ernie reyes jr. brigitte nielsen sandahl bergman action adventure fantasy
red lights,Rodrigo Cortés,Robert De Niro,Toby Jones,Craig Roberts,Drama Horror Mystery Thriller,rodrigo cortés robert de niro toby jones craig roberts drama horror mystery thriller
superbad,Greg Mottola,Emma Stone,Joe Lo Truglio,Kevin Corrigan,Comedy,greg mottola emma stone joe lo truglio kevin corrigan comedy
